Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
Q8BZ32_peptide1	4772157	6485652.628	6749047.392	7794455.509	5783301.292	7548220.927	9705601.734	9682447.543
Q6GQX2_peptide1	4060713	4027652.378	4963343.56	2577507.116	3012465.823	3634245.923	NA	1875206.574
Q5HZI1_peptide1	5197043	5934838.466	6094060.38	5406889.294	27839256.59	30470184.05	30320870.22	34924654.36
Q5HZI1_peptide2	17259490	19668619.95	21667326.93	19588649.22	31762578.11	40125918.16	36411974.27	38105072.13
P08121_peptide1	1346678.75	1819234.953	1255654.319	2470612.71	2611792.26	3249329.32	1490468.534	1831473.409
Q8R310_peptide1	2554550.375	2883972.916	2026295.894	7375920.507	22982222.74	16374973.66	17458417.36	15981149.75
Q80U72_peptide1	27613277.63	29156562.44	26360051.41	33176886.94	21556550.11	20792565.57	20201438	19679664.2
Q80U72_peptide2	3438373.25	NA	NA	NA	496893.6507	NA	NA	NA
P63017_peptide1	4028498.75	7259527.727	3402587.263	3582115.461	7059441.716	6178903.997	5076316.132	3948772.91
Q9DBR1_peptide1	1605306.875	1857078.23	2729230.939	3675289.49	871170.9467	NA	1389882.516	1810438.835
E9Q394_peptide1	20769411.81	32312302.56	31974011.43	30463840.4	27474123.69	24025206.84	29038914.72	38908567.07
P18654_peptide1	3510086.5	5521768.282	6453677.835	6271145.992	4060395.457	5793443.202	5552685.218	5626725.397
Q91YM2_peptide1	2198803.5	4021889.508	4457956.921	3214377.574	2375451.085	3385220.669	2237042.78	2915527.405
Q91YM2_peptide2	NA	3671040.353	2907040.423	3027525.72	39829075.25	35061372.7	31965771.55	35683261.36
Q6GQX2_peptide2	12324666	14790087.83	16419457.19	8927953.317	13280243.63	13488989.88	12862265.19	5835540.306
Q80UE6_peptide1	6896521	NA	NA	7892920.589	6942692.428	NA	5417586.622	6541483.525
Q8CGN5; Q8CGN5-3_peptide1	3697034	4574247.104	6684390.153	4228792.157	4512510.902	4774978.291	4270623.498	3578809.049
Q8CGN5; Q8CGN5-3_peptide2	730690836.5	827528014.9	1080641049	1050336194	503888063.2	563705956.5	495488522.7	571406804.9
Q8BPZ8_peptide1	3492723	2588918.86	2445524.229	2653734.606	2644821.776	3343391.525	2723150.223	NA
Q6PDH0_peptide1	32307653.5	34687104.37	39883598.48	42532944.24	20057425.28	10854954.49	22078559.03	25455359.34
Q6PDH0_peptide2	5581941	3891972.278	793711.383	803075.4099	5841352.732	4975430.617	2426236.228	1482110.451
Q9JI99_peptide1	5345465	6271657.508	6401271.55	6141678.293	5866271.295	5249816.403	5414910.206	5334594.832
Q923T9_peptide1	1783362.75	NA	3553308.084	NA	NA	3086155.508	3591664.72	NA
Q9D3E6_peptide1	7558381	8363960.469	8029512.898	7964451.832	4705528.656	5611127.856	6166872.913	7186330.519
