Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
Q8BZ32_peptide1	4772157	5252619.5	4266167.75	4057394.125	4668567.5	5931375.5	5482123.5	4616057.25
Q6GQX2_peptide1	4060713	3261927	3137399.25	1341718.125	2431811.75	2855782.5	NA	893995.125
Q5HZI1_peptide1	5197043	4806524.5	3852141.25	2814549.5	22473228	23943404	17126476	16650150
Q5HZI1_peptide2	17259490	15929280	13696222	10196847	25640327.63	31530858.75	20566982.38	18166397.88
P08121_peptide1	1346678.75	1473367.375	793716.75	1286074.375	2108368.188	2553315.875	841878	873145.5625
Q8R310_peptide1	2554550.375	2335680.5	1280850.125	3839526.25	18552389.5	12867418.5	9861233	7618931.25
Q80U72_peptide1	27613277.63	23613402.88	16662559.13	17270187.25	17401515.88	16338752.56	11410604	9382179.063
Q80U72_peptide2	3438373.25	NA	NA	NA	401117.1875	NA	NA	NA
P63017_peptide1	4028498.75	5879367.75	2150823.25	1864665.75	5698731.313	4855369.25	2867312.375	1882557.25
Q9DBR1_peptide1	1605306.875	1504016	1725185.25	1913167.375	703252.375	NA	785062.875	863117.4375
E9Q394_peptide1	20769411.81	26169183	20211222.19	15857914.25	22178474.63	18878955	16402374.75	18549459.97
P18654_peptide1	3510086.5	4471986	4079460.5	3264437.25	3277752.5	4552475	3136385.25	2682512.5
Q91YM2_peptide1	2198803.5	3257259.75	2817937.25	1673240.25	1917581.875	2660099	1263573.875	1389962.75
Q91YM2_peptide2	NA	2973113	1837581.125	1575974.75	32152004	27551150	18055584	17011812
Q6GQX2_peptide2	12324666	11978240	10378969.75	4647435	10720471	10599618.75	7265137	2782063.938
Q80UE6_peptide1	6896521	NA	NA	4108650	5604485.5	NA	3060076	3118618.75
Q8CGN5; Q8CGN5-3_peptide1	3697034	3704604.75	4225297	2201292.5	3642722.5	3752167.5	2412224	1706178.875
Q8CGN5; Q8CGN5-3_peptide2	730690836.5	670200832	683088400.9	546751200.3	406763424	442958908.1	279872320	272415266.2
Q8BPZ8_peptide1	3492723	2096721.25	1545850.25	1381398.25	2135031.25	2627229.75	1538147.375	NA
Q6PDH0_peptide1	32307653.5	28092494.5	25210983.38	22140471.25	16191348	8529799.5	12470879.25	12135712.13
Q6PDH0_peptide2	5581941	3152042	501716.125	418039.9063	4715429.5	3909682.5	1370438.125	706588.5625
Q9JI99_peptide1	5345465	5079308.5	4046333.75	3197043	4735545	4125294.25	3058564.25	2543240.75
Q923T9_peptide1	1783362.75	NA	2246096	NA	NA	2425094.25	2028720.125	NA
Q9D3E6_peptide1	7558381	6773829	5075568	4145885.5	3798536	4409212	3483303.75	3426046.25
Q9D3E6_peptide2	5583652	5193803	3533127.5	2181821.25	2628378.25	3291965	1589588.375	NA
P48678; P48678-2_peptide1	27882747	26314516	18075012.5	15208976	13828838	19380538.5	13989047.5	10023111.75
P48678; P48678-2_peptide2	2371408.25	1269215.75	1725471.875	1538215.5	858975.0625	NA	845827.0625	839600.375
Q9Z1Q5_peptide1	67302352	74236880	61845092	59022892	53839840	45735828	42736528	36048056
Q3UIA2_peptide1	4209516.5	5616296	5111567.5	3984457.25	3756966.5	3356841	2791177.75	2405991.75
Q91YU6_peptide1	2571214	2754238.75	1889552.75	1026662.313	2478580.5	1835510.375	2814797.75	1849923.25
Q62018_peptide1	50471359	13484634	6482844.625	469860.0625	31200502	19818410.25	5503885.375	3186777.063
Q8BTI8_peptide1	317168390	351910353	274373165.3	252720055	293940475	335076172.5	269117376.8	215597987.5
Q8BL48_peptide1	2390660.5	5719024	3206960.875	NA	5897524	7396274	5907099.75	5759282
O70405_peptide1	24891199.81	29100971	16926494	13936273	28970918	29989852	22003446	17419448
Q9D4H9-2_peptide1	2905270	2778488.75	2766549.75	2637660	538867.875	3858169.125	3101622.5	3100673.563
Q9D4H9-2_peptide2	8124511.813	12448693.81	12816853.63	14816731	893491.9375	941630.875	10525168.19	17329455
B2RY04_peptide1	7689435.5	7335429.5	6416957.5	6493219.5	20109700	18235110	17615766	14906261
Q61234_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
Q61234_peptide2	844239.1875	528020.75	539816.125	NA	1340457.125	1799876.875	563309.25	402713.9375
O08715_peptide1	3681356.75	4185299.5	3730192.75	NA	2671230.5	2304276.75	1005098.875	NA
Q8BGQ1_peptide1	299409.375	233572.4844	NA	NA	7987.526855	77966.98438	48786.94141	NA
Q8C0N2_peptide1	3123892.25	2588326.25	2027946.875	2154618	1455028	3425718.75	2082112.625	2745881.75
Q9DBX2_peptide1	22679038	10969264	4759801.188	2354322.188	3753459	10348571	3114930	2276461.875
Q9CRA9_peptide1	1496402.5	1582901.125	1265933.375	1064938.875	511884.9375	838330.5	642725.125	NA
Q8K3A9_peptide1	29179635.38	20494578	5957113	6217297.5	18393210	12465395.69	17284317.5	13008219
O88622_peptide1	18887671	14552977.5	8054081	3202195.25	7521765.25	13915801	4403551.25	3615263
Q9QZK2_peptide1	1027805.5	1244758.75	3243777.125	1142768.625	2169829.25	5250876	3384233.625	1652937
Q99MZ3_peptide1	840124.9375	594718.875	172263.875	NA	1128873.25	699530.5625	394865.0625	288763.4063
P05627_peptide1	732471	381207.125	623463.5625	NA	1025149.375	968604.1875	NA	452701
Q61409_peptide1	630826.3125	524486.1875	388471.2813	406321.8125	15482412.5	12029024.75	8604712	4979225.25
Q5PRE5_peptide1	11550155	4971343	6828560.5	3248705.25	3847358	2951915.75	1497910.125	2024855
Q8CB77_peptide1	4372400	2396765.5	2221573.25	1368320	NA	1722835.375	1572292.875	1647112.125
O35613_peptide1	10074451.5	9792300.75	7874656	6878068	6792474	5401919.875	4643251.625	3893600.875
