From	To
P31750	11651
Q91V92	104112
Q60823	11652
Q9Z120	17299
P62754	20104
Q3UPF5	78781
Q61409	18576
Q60876	13685
Q8BSK8	72508
Q9QZQ1	17356
Q8K3A9	231803
O70405	22241
Q69ZS7	56422
Q3UR85	225908
Q9CW46	71766
P42128	17425
E9PYH6	233904
Q6P5E6	74105
P70445	13688
Q9CZU6	12974
Q8C4V1	231532
Q9Z2A0	18607
Q80UE6	69847
P35569	16367
Q00PI9	68693
P70227	16440
Q9Z1M4	58988
Q6PCP5	75734
P15208	16337
Q69ZW3	216565
P46662	18016
Q62273	13521
P56564	20512
Q80U44	218441
Q9WTQ5	83397
P80314	12461
P54729	53312
E9Q7G0	101706
Q80UJ7	226407
Q6ZPY7	277250
Q9DCN7	76892
Q8BTI8	75956
Q9Z1E4	14936
Q7TPD0	229543
Q6ZPS6	70797
Q3UMU9	15193
P81122	384783
Q6ZWQ0	319565
P18654	110651
Q8VBT9	68938
P54254	20238
Q62245	20662
Q3UYI5	71746
P63085	26413
Q501J6	67040
Q5ND34	192652
Q9ESC8	93736
Q8BHD7	230257
O88746	21968
Q9D2E2	68276
Q76LS9	75007
Q91WG5	108099
Q61823	18569
Q8C1D8	73473
Q8BJF9	68942
Q63844	26417
Q3ULW8	235587
Q8BG09	223693
O08796	13631
Q91XE4	71670
P56959	233908
P18653	20111
Q8C050	73086
Q8VEL2	97287
Q8C0M0	319481
Q5U3K5	227624
O08664	12055
Q9R049	23802
P59759	239719
Q61070	13663
Q9D1F4	67605
Q99N57	110157
Q60592	17776
B1AVH7	381605
F6ZDS4	108989
Q6ZQ58	73158
Q61532	50772
Q6PA06	56298
O88796	54364
Q9D0U6	68877
Q62179	20352
Q62036	12009
Q6P9S0	244654
Q6KCD5	71175
Q9ESN9	30957
Q8VDZ4	228136
Q62433	17988
Q8K4P0	74320
Q9CR55	66714
Q923J1	58800
A2A9C3	230676
Q99K28	77038
Q6NXJ0	52357
P59672	224650
Q4VAC9	263406
P49817	12389
Q99LI2	229725
Q9JKB3	56449
P62960	22608
Q9Z148	110147
Q8VI36	19303
Q5XJE5	235497
Q61084	26406
P51125	12380
Q9JJG0	57752
P60335	23983
Q9Z1T6	18711
Q91YM2	232906
Q3UYV9	433702
Q8BGI4	58909
Q9WTK2	12593
Q8BJ34	223989
Q8BGD9	75705
Q9R0A0	56273
Q8BHL8	228769
Q8BYJ6	210789
Q8CCJ3	67490
Q6PB70	382014
Q922B9	70599
Q8K1C9	230654
Q6P9Q6	338355
Q63918	20324
Q9D4H9	75725
Q9QYE6	27277
Q3TAA7	71728
Q9WVG6	59035
P54227	16765
P0C7T6	52335
Q09XV5	67772
Q8K2L8	217449
P61982	22628
Q60520	20466
Q9WU42	20602
Q80X50	74383
Q924A2	71722
Q8BUR4	330662
O70161	18717
Q9JL61	53970
Q9ESZ8	14886
Q9WVH4	56484
Q8BH31	72175
Q3UPH7	268739
Q9CWK8	67804
Q62511	109910
Q3TWL2	219024
P62082	20115
P97393	11855
Q8BKT7	107829
Q3UMC0	57815
Q8CDA1	101490
Q9ES00	63958
Q9DBG5	66905
O54918	12125
Q9Z2H5	13821
Q62210	11797
O54931	677884
Q68EF0	216363
Q8CHP5	78428
Q69ZH9	58996
Q9EPN1	26422
O88413	22158
Q9QX47	20658
Q6NZF1	70579
P61460	277854
Q9CT10	71810
Q7TNE3	216873
Q91ZP3	14245
O35216	12615
Q6QI06	78757
Q9D219	77578
Q7TSI1	353047
Q9D8N0	67160
Q6Y7W8	227331
Q6NS46	18572
Q9D2G5	20975
A2AAE1	229227
P70399	27223
O88286	22404
P56399	22225
Q9JJF3	71952
Q9Z2C4	53332
Q3U182	74343
Q9QYR6	17754
Q3TC46	225929
Q8BJL1	71865
Q6A065	545389
Q3USJ8	207278
Q8BG30	24116
Q9EQN3	78829
Q61165	20544
E9Q7D5	54324
Q61990	18521
Q8R373	71566
P07091	20198
Q8R0S2	232227
Q9R1E0	56458
P26039	21894
Q8BUH8	66315
P47809	26398
Q5SSH7	195018
Q8BJU0	52551
Q60760	14783
P41233	11303
Q0VBL3	229700
P21619	16907
Q80UP8	20516
Q924Z6	74204
Q3UHH1	268721
E9Q6J5	665775
Q6PEV3	68524
P51859	15191
Q68ED7	382056
Q02780	18027
P70671	54131
Q5SSL4	109934
P42227	20848
Q8CJ19	194401
Q9JLN9	56717
E9PZM4	244059
Q9D4J7	70998
Q5HZI1	102103
Q501J7	100169
Q9CY58	66870
O35954	18739
P55194	20401
Q8BJ05	75553
Q69ZR9	218850
Q67FY2	80288
B1AXH1	100042480
Q9DBY0	74123
Q64700	19651
A2ADY9	68817
Q9WTV7	19820
Q8C3P7	56335
P52479	22224
Q80YV2	232679
Q61818	19377
Q9D6Z1	67134
P26369	22185
Q8VD65	75669
Q99MZ3	58805
Q8BZ47	214812
Q08874	17342
Q5SNZ0	108686
Q9D7S9	76959
Q8BMS1	97212
Q8BYY4	69863
Q8K2H1	223828
Q9ER00	100226
Q3UDK1	231712
Q7TQ95	69605
Q61103	19708
Q6PEE2	269037
Q91WB4	71801
P16858	14433
Q99LJ0	80281
Q80XK6	76559
Q9JIH2	18141
Q8BI84	338366
Q9R123	56441
Q4KMM3	170719
A2AHC3	227634
Q5F2F2	67477
P70452	20909
Q3UHC7	69601
Q9CQ20	68041
P70290	17524
Q8R310	319880
Q9D394	52822
Q5BLK4	214290
Q91VY5	193796
Q3UE31	223739
Q3UHJ0	269774
Q922Y1	225896
B2RS91	106298
Q8C170	270163
O35495	18647
Q8N7N5	98193
Q8BRM2	98376
Q60749	20218
O35691	18949
Q8K194	66618
Q80TJ7	320595
Q69ZX6	74522
O08648	26407
Q571I4	244418
Q8BP71	93686
Q8CGZ0	27967
Q80X82	68188
Q99MS7	114601
Q923D5	60321
Q91Z96	140780
Q80U78	80912
Q8CBD1	268903
Q8C180	327826
Q8BY87	74996
Q8CDB0	17347
Q922P9	74022
O08785	12753
Q8CHI8	75560
Q8CBY8	67665
Q8K2F0	67382
Q9QXK2	58186
O08983	192236
P56480	11947
Q80U49	217882
Q9ERU9	19386
Q7TMQ7	101240
Q3UMB5	237782
Q9R0G7	24136
Q8C0V0	228012
Q61687	22589
Q5SPW0	245944
Q8BH50	212163
Q8K1R7	217718
Q9QYH6	94275
Q6PAR5	66691
Q62417	20411
Q6PD31	67095
Q9QYY0	14388
E9QAT4	227648
P04627	11836
Q8BG67	76740
O54724	19285
Q6PGL7	28006
A3KGS3	241694
A2A791	67785
Q9DBR7	17931
Q5EG47	105787
O70480	53330
Q8CFA1	108960
P40201	12648
Q80U72	105782
Q8K3I9	170772
Q80V94	108011
P23804	17246
P11031	20024
Q99PP7	94093
Q64127	21848
P53996	12785
P48678	16905
Q922M7	98404
A2AGT5	75786
Q80WC3	231861
Q3UHR0	268515
Q80WQ6	217344
O55239	18113
Q8K310	17184
P70265	18640
P16092	14182
Q8K4J6	223701
Q62130	19250
Q61686	12419
Q8VCQ3	641340
Q9D5V6	67043
P63024	22319
Q3UMT1	232807
Q8CHP6	241915
Q6EDY6	68732
Q8C9B9	23856
Q9WTU0	18676
Q8CCN5	192197
Q571K4	66724
O88271	23837
Q6NZJ6	208643
Q8CGB6	209039
Q7TMA2	218820
Q6AW69	68178
Q6P5E8	110524
Q3UMF0	319876
B1AY13	329908
E9Q5C9	70769
Q80XC3	98910
Q3TLH4	226562
Q6PAL7	230793
Q9QYG0	29811
Q91ZX7	16971
Q8BP27	67788
Q61425	15107
Q4V9W2	67288
Q7TSG2	67655
Q9Z0U1	21873
Q8BU85	320183
Q6ZPJ0	21763
Q8VBW5	70508
Q6PHZ5	109095
P23242	14609
Q8K245	78610
Q99KW3	110253
O08550	75410
Q2NL51	606496
Q3TKT4	20586
Q8VC03	225898
Q8BIW1	229589
A2AM29	70122
Q8K3Z9	107939
G3XA57	74998
P13516	20249
Q8CJ61	97487
Q9R0L6	18536
Q8K212	107975
Q3UHK6	23966
